,Комментарии к типоразмеру##OTHER##,Световой поток светильника##ELECTRICAL_LUMINOUS_FLUX##LUMENS,Полная установленная мощность##ELECTRICAL_APPARENT_POWER##VOLT_AMPERES,Цветовая температура##COLOR_TEMPERATURE##KELVIN,Кривая сил света##OTHER##,Описание##OTHER##
L-lego II 165 banner-135-K15-4.0K,Прожекторы,17553,135,4000,К15,"Универсальный модульный светильник/прожектор L-lego II 165 banner предназначен для освещения промышленных и складских помещений, спортивных объектов, торговых и выставочных комплексов."
L-lego II 165 banner-135-G60-5.0K,Прожекторы,17544,135,5000,Г60,"Универсальный модульный светильник/прожектор L-lego II 165 banner предназначен для освещения промышленных и складских помещений, спортивных объектов, торговых и выставочных комплексов."
L-lego II 165 banner-135-D-5.0K,Прожекторы,17553,135,5000,Д,"Универсальный модульный светильник/прожектор L-lego II 165 banner предназначен для освещения промышленных и складских помещений, спортивных объектов, торговых и выставочных комплексов."
L-lego II 165 banner-135-G30-4.0K,Прожекторы,17553,135,4000,Г30,"Универсальный модульный светильник/прожектор L-lego II 165 banner предназначен для освещения промышленных и складских помещений, спортивных объектов, торговых и выставочных комплексов."
L-lego II 165 banner-135-D-4.0K,Прожекторы,17553,135,4000,Д,"Универсальный модульный светильник/прожектор L-lego II 165 banner предназначен для освещения промышленных и складских помещений, спортивных объектов, торговых и выставочных комплексов."
L-lego II 165 banner-135-K15-5.0K,Прожекторы,17553,135,5000,К15,"Универсальный модульный светильник/прожектор L-lego II 165 banner предназначен для освещения промышленных и складских помещений, спортивных объектов, торговых и выставочных комплексов."
L-lego II 165 banner-135-G30-5.0K,Прожекторы,17553,135,5000,Г30,"Универсальный модульный светильник/прожектор L-lego II 165 banner предназначен для освещения промышленных и складских помещений, спортивных объектов, торговых и выставочных комплексов."
L-lego II 165 banner-135-G60-4.0K,Прожекторы,17544,135,4000,Г60,"Универсальный модульный светильник/прожектор L-lego II 165 banner предназначен для освещения промышленных и складских помещений, спортивных объектов, торговых и выставочных комплексов."
