,Комментарии к типоразмеру##OTHER##,Световой поток светильника##ELECTRICAL_LUMINOUS_FLUX##LUMENS,Полная установленная мощность##ELECTRICAL_APPARENT_POWER##VOLT_AMPERES,Цветовая температура##COLOR_TEMPERATURE##KELVIN,Кривая сил света##OTHER##,Описание##OTHER##
L-lego II 30 K15 4.0K,Промышленные,3186,24,4000,К15,"Универсальный модульный светильник L-lego II 30 предназначен для освещения промышленных объектов, логистических комплексов, спортивных сооружений, торговых помещений, выставочных павильонов и т.п."
L-lego II 30 D 4.0K,Промышленные,3196,24,4000,Д,"Универсальный модульный светильник L-lego II 30 предназначен для освещения промышленных объектов, логистических комплексов, спортивных сооружений, торговых помещений, выставочных павильонов и т.п."
L-lego II 30 G60 4.0K,Промышленные,3202,24,4000,Г60,"Универсальный модульный светильник L-lego II 30 предназначен для освещения промышленных объектов, логистических комплексов, спортивных сооружений, торговых помещений, выставочных павильонов и т.п."
L-lego II 30 G30 4.0K,Промышленные,3207,24,4000,Г30,"Универсальный модульный светильник L-lego II 30 предназначен для освещения промышленных объектов, логистических комплексов, спортивных сооружений, торговых помещений, выставочных павильонов и т.п."
L-lego II 30 K15 5.0K,Промышленные,3186,24,5000,К15,"Универсальный модульный светильник L-lego II 30 предназначен для освещения промышленных объектов, логистических комплексов, спортивных сооружений, торговых помещений, выставочных павильонов и т.п."
L-lego II 30 G30 5.0K,Промышленные,3207,24,5000,Г30,"Универсальный модульный светильник L-lego II 30 предназначен для освещения промышленных объектов, логистических комплексов, спортивных сооружений, торговых помещений, выставочных павильонов и т.п."
L-lego II 30 D 5.0K,Промышленные,3196,24,5000,Д,"Универсальный модульный светильник L-lego II 30 предназначен для освещения промышленных объектов, логистических комплексов, спортивных сооружений, торговых помещений, выставочных павильонов и т.п."
L-lego II 30 G60 5.0K,Промышленные,3202,24,5000,Г60,"Универсальный модульный светильник L-lego II 30 предназначен для освещения промышленных объектов, логистических комплексов, спортивных сооружений, торговых помещений, выставочных павильонов и т.п."
