,Комментарии к типоразмеру##OTHER##,Световой поток светильника##ELECTRICAL_LUMINOUS_FLUX##LUMENS,Полная установленная мощность##ELECTRICAL_APPARENT_POWER##VOLT_AMPERES,Цветовая температура##COLOR_TEMPERATURE##KELVIN,Кривая сил света##OTHER##,Описание##OTHER##
L-lego II 500 G60 5.0K,Промышленные,55496,425,5000,Г60,"Светодиодный светильник L-lego II 500 предназначен для наружного освещения территорий с высокими требованиями к освещенности (стадионы, порты, площади), а также внутреннего освещения помещений с высотой подвеса от 15 м и выше (промышленные объекты, логистические комплексы, спортивные сооружения и т.п.)."
L-lego II 500 K15 4.0K,Промышленные,55743,425,4000,К15,"Светодиодный светильник L-lego II 500 предназначен для наружного освещения территорий с высокими требованиями к освещенности (стадионы, порты, площади), а также внутреннего освещения помещений с высотой подвеса от 15 м и выше (промышленные объекты, логистические комплексы, спортивные сооружения и т.п.)."
L-lego II 500 D 5.0K,Промышленные,55396,425,5000,Д,"Светодиодный светильник L-lego II 500 предназначен для наружного освещения территорий с высокими требованиями к освещенности (стадионы, порты, площади), а также внутреннего освещения помещений с высотой подвеса от 15 м и выше (промышленные объекты, логистические комплексы, спортивные сооружения и т.п.)."
L-lego II 500 K15 5.0K,Промышленные,55743,425,5000,К15,"Светодиодный светильник L-lego II 500 предназначен для наружного освещения территорий с высокими требованиями к освещенности (стадионы, порты, площади), а также внутреннего освещения помещений с высотой подвеса от 15 м и выше (промышленные объекты, логистические комплексы, спортивные сооружения и т.п.)."
L-lego II 500 G30 4.0K,Промышленные,55597,425,4000,Г30,"Светодиодный светильник L-lego II 500 предназначен для наружного освещения территорий с высокими требованиями к освещенности (стадионы, порты, площади), а также внутреннего освещения помещений с высотой подвеса от 15 м и выше (промышленные объекты, логистические комплексы, спортивные сооружения и т.п.)."
L-lego II 500 D 4.0K,Промышленные,55396,425,4000,Д,"Светодиодный светильник L-lego II 500 предназначен для наружного освещения территорий с высокими требованиями к освещенности (стадионы, порты, площади), а также внутреннего освещения помещений с высотой подвеса от 15 м и выше (промышленные объекты, логистические комплексы, спортивные сооружения и т.п.)."
L-lego II 500 G30 5.0K,Промышленные,55597,425,5000,Г30,"Светодиодный светильник L-lego II 500 предназначен для наружного освещения территорий с высокими требованиями к освещенности (стадионы, порты, площади), а также внутреннего освещения помещений с высотой подвеса от 15 м и выше (промышленные объекты, логистические комплексы, спортивные сооружения и т.п.)."
L-lego II 500 G60 4.0K,Промышленные,55496,425,4000,Г60,"Светодиодный светильник L-lego II 500 предназначен для наружного освещения территорий с высокими требованиями к освещенности (стадионы, порты, площади), а также внутреннего освещения помещений с высотой подвеса от 15 м и выше (промышленные объекты, логистические комплексы, спортивные сооружения и т.п.)."
