,Комментарии к типоразмеру##OTHER##,Световой поток светильника##ELECTRICAL_LUMINOUS_FLUX##LUMENS,Полная установленная мощность##ELECTRICAL_APPARENT_POWER##VOLT_AMPERES,Цветовая температура##COLOR_TEMPERATURE##KELVIN,Кривая сил света##OTHER##,Описание##OTHER##
Superstreet 250 5.0К Ш8,Уличные,26734,202,5000,Ш,"Светодиодный светильник Super street 250 предназначен для освещения широких автомагистралей, многополосных городских дорог, а также площадей."
Superstreet 250 4.0К Ш7,Уличные,24150,185,4000,Ш7,"Светодиодный светильник Super street 250 предназначен для освещения широких автомагистралей, многополосных городских дорог, а также площадей."
Superstreet 250 4.0К Ш13,Уличные,26956,202,4000,Ш13,"Светодиодный светильник Super street 250 предназначен для освещения широких автомагистралей, многополосных городских дорог, а также площадей."
Superstreet 250 4.0К Ш8,Уличные,26734,202,4000,Ш8,"Светодиодный светильник Super street 250 предназначен для освещения широких автомагистралей, многополосных городских дорог, а также площадей."
Superstreet 250 5.0К Ш22,Уличные,26472,202,5000,Ш22,"Светодиодный светильник Super street 250 предназначен для освещения широких автомагистралей, многополосных городских дорог, а также площадей."
Superstreet 250 4.0К Ш23,Уличные,26450,202,4000,Ш23,"Светодиодный светильник Super street 250 предназначен для освещения широких автомагистралей, многополосных городских дорог, а также площадей."
Superstreet 250 5.0К Ш13,Уличные,26956,202,5000,Ш13,"Светодиодный светильник Super street 250 предназначен для освещения широких автомагистралей, многополосных городских дорог, а также площадей."
Superstreet 250 5.0К Ш23,Уличные,26450,202,5000,Ш23,"Светодиодный светильник Super street 250 предназначен для освещения широких автомагистралей, многополосных городских дорог, а также площадей."
Superstreet 250 5.0К Ш7,Уличные,24150,185,5000,Ш7,"Светодиодный светильник Super street 250 предназначен для освещения широких автомагистралей, многополосных городских дорог, а также площадей."
Superstreet 250 4.0К Ш22,Уличные,26472,202,4000,Ш22,"Светодиодный светильник Super street 250 предназначен для освещения широких автомагистралей, многополосных городских дорог, а также площадей."
