,Комментарии к типоразмеру##OTHER##,Световой поток светильника##ELECTRICAL_LUMINOUS_FLUX##LUMENS,Полная установленная мощность##ELECTRICAL_APPARENT_POWER##VOLT_AMPERES,Цветовая температура##COLOR_TEMPERATURE##KELVIN,Кривая сил света##OTHER##,Описание##OTHER##
L-lego II 500 banner-425-K15-4.0K,Прожекторы,55743,425,4000,К15,"Светодиодный светильник/прожектор L-lego II 500 banner предназначен для внешней подсветки крупных объектов (стел, монументов, фасадов зданий), а также для наружного освещения территорий с высокими требованиями к освещенности (стадионы, порты, площади и т.п.)."
L-lego II 500 banner-425-K15-5.0K,Прожекторы,55743,425,5000,К15,"Светодиодный светильник/прожектор L-lego II 500 banner предназначен для внешней подсветки крупных объектов (стел, монументов, фасадов зданий), а также для наружного освещения территорий с высокими требованиями к освещенности (стадионы, порты, площади и т.п.)."
L-lego II 500 banner-425-G30-4.0K,Прожекторы,55597,425,4000,Г30,"Светодиодный светильник/прожектор L-lego II 500 banner предназначен для внешней подсветки крупных объектов (стел, монументов, фасадов зданий), а также для наружного освещения территорий с высокими требованиями к освещенности (стадионы, порты, площади и т.п.)."
L-lego II 500 banner-425-G30-5.0K,Прожекторы,55597,425,5000,Г30,"Светодиодный светильник/прожектор L-lego II 500 banner предназначен для внешней подсветки крупных объектов (стел, монументов, фасадов зданий), а также для наружного освещения территорий с высокими требованиями к освещенности (стадионы, порты, площади и т.п.)."
L-lego II 500 banner-425-D-5.0K,Прожекторы,55396,425,5000,Д,"Светодиодный светильник/прожектор L-lego II 500 banner предназначен для внешней подсветки крупных объектов (стел, монументов, фасадов зданий), а также для наружного освещения территорий с высокими требованиями к освещенности (стадионы, порты, площади и т.п.)."
L-lego II 500 banner-425-G60-5.0K,Прожекторы,55496,425,5000,Г60,"Светодиодный светильник/прожектор L-lego II 500 banner предназначен для внешней подсветки крупных объектов (стел, монументов, фасадов зданий), а также для наружного освещения территорий с высокими требованиями к освещенности (стадионы, порты, площади и т.п.)."
L-lego II 500 banner-425-G60-4.0K,Прожекторы,55496,425,4000,Г60,"Светодиодный светильник/прожектор L-lego II 500 banner предназначен для внешней подсветки крупных объектов (стел, монументов, фасадов зданий), а также для наружного освещения территорий с высокими требованиями к освещенности (стадионы, порты, площади и т.п.)."
L-lego II 500 banner-425-D-4.0K,Прожекторы,55396,425,4000,Д,"Светодиодный светильник/прожектор L-lego II 500 banner предназначен для внешней подсветки крупных объектов (стел, монументов, фасадов зданий), а также для наружного освещения территорий с высокими требованиями к освещенности (стадионы, порты, площади и т.п.)."
