,Комментарии к типоразмеру##OTHER##,Световой поток светильника##ELECTRICAL_LUMINOUS_FLUX##LUMENS,Полная установленная мощность##ELECTRICAL_APPARENT_POWER##VOLT_AMPERES,Цветовая температура##COLOR_TEMPERATURE##KELVIN,Кривая сил света##OTHER##,Описание##OTHER##
L-lego II 220 G60 4.0K,Промышленные,23184,178,4000,Г60,"Светодиодный светильник L-lego II 220 предназначен для общего внутреннего освещения производственных помещений, территорий промышленных предприятий, логистических комплексов, спортивных сооружений."
L-lego II 220 D 5.0K,Промышленные,23142,178,5000,Д,"Светодиодный светильник L-lego II 220 предназначен для общего внутреннего освещения производственных помещений, территорий промышленных предприятий, логистических комплексов, спортивных сооружений."
L-lego II 220 G60 5.0K,Промышленные,23184,178,5000,Г60,"Светодиодный светильник L-lego II 220 предназначен для общего внутреннего освещения производственных помещений, территорий промышленных предприятий, логистических комплексов, спортивных сооружений."
L-lego II 220 G30 5.0K,Промышленные,23226,178,5000,Г30,"Светодиодный светильник L-lego II 220 предназначен для общего внутреннего освещения производственных помещений, территорий промышленных предприятий, логистических комплексов, спортивных сооружений."
L-lego II 220 D 4.0K,Промышленные,23142,178,4000,Д,"Светодиодный светильник L-lego II 220 предназначен для общего внутреннего освещения производственных помещений, территорий промышленных предприятий, логистических комплексов, спортивных сооружений."
L-lego II 220 G30 4.0K,Промышленные,23226,178,4000,Г30,"Светодиодный светильник L-lego II 220 предназначен для общего внутреннего освещения производственных помещений, территорий промышленных предприятий, логистических комплексов, спортивных сооружений."
L-lego II 220 K15 5.0K,Промышленные,23288,178,5000,К15,"Светодиодный светильник L-lego II 220 предназначен для общего внутреннего освещения производственных помещений, территорий промышленных предприятий, логистических комплексов, спортивных сооружений."
L-lego II 220 K15 4.0K,Промышленные,23288,178,4000,К15,"Светодиодный светильник L-lego II 220 предназначен для общего внутреннего освещения производственных помещений, территорий промышленных предприятий, логистических комплексов, спортивных сооружений."
