,Комментарии к типоразмеру##OTHER##,Световой поток светильника##ELECTRICAL_LUMINOUS_FLUX##LUMENS,Полная установленная мощность##ELECTRICAL_APPARENT_POWER##VOLT_AMPERES,Цветовая температура##COLOR_TEMPERATURE##KELVIN,Кривая сил света##OTHER##,Описание##OTHER##
L-industry 115 4.0К К15,Промышленные,12432,94,4000,К15,"Универсальный LED светильник L-industry 115 разработан для общего внутреннего освещения промышленных объектов, складских и логистических помещений. Дизайн L-industry 115 делает светильник интересным для установки в торговых центрах, выставочных павильонах, спортивных сооружениях и т.п. По ряду использованных решений L-industry 115 не имеет аналогов."
L-industry 115 5.0К Г60,Промышленные,12310,94,5000,Г60,"Универсальный LED светильник L-industry 115 разработан для общего внутреннего освещения промышленных объектов, складских и логистических помещений. Дизайн L-industry 115 делает светильник интересным для установки в торговых центрах, выставочных павильонах, спортивных сооружениях и т.п. По ряду использованных решений L-industry 115 не имеет аналогов."
L-industry 115 4.0К Г30,Промышленные,12398,94,4000,Г30,"Универсальный LED светильник L-industry 115 разработан для общего внутреннего освещения промышленных объектов, складских и логистических помещений. Дизайн L-industry 115 делает светильник интересным для установки в торговых центрах, выставочных павильонах, спортивных сооружениях и т.п. По ряду использованных решений L-industry 115 не имеет аналогов."
L-industry 115 5.0К Д,Промышленные,12321,94,5000,Д,"Универсальный LED светильник L-industry 115 разработан для общего внутреннего освещения промышленных объектов, складских и логистических помещений. Дизайн L-industry 115 делает светильник интересным для установки в торговых центрах, выставочных павильонах, спортивных сооружениях и т.п. По ряду использованных решений L-industry 115 не имеет аналогов."
L-industry 115 4.0К Г60,Промышленные,12310,94,4000,Г60,"Универсальный LED светильник L-industry 115 разработан для общего внутреннего освещения промышленных объектов, складских и логистических помещений. Дизайн L-industry 115 делает светильник интересным для установки в торговых центрах, выставочных павильонах, спортивных сооружениях и т.п. По ряду использованных решений L-industry 115 не имеет аналогов."
L-industry 115 5.0К Г30,Промышленные,12398,94,5000,Г30,"Универсальный LED светильник L-industry 115 разработан для общего внутреннего освещения промышленных объектов, складских и логистических помещений. Дизайн L-industry 115 делает светильник интересным для установки в торговых центрах, выставочных павильонах, спортивных сооружениях и т.п. По ряду использованных решений L-industry 115 не имеет аналогов."
L-industry 115 5.0К К15,Промышленные,12432,94,5000,К15,"Универсальный LED светильник L-industry 115 разработан для общего внутреннего освещения промышленных объектов, складских и логистических помещений. Дизайн L-industry 115 делает светильник интересным для установки в торговых центрах, выставочных павильонах, спортивных сооружениях и т.п. По ряду использованных решений L-industry 115 не имеет аналогов."
L-industry 115 4.0К Д,Промышленные,12321,94,4000,Д,"Универсальный LED светильник L-industry 115 разработан для общего внутреннего освещения промышленных объектов, складских и логистических помещений. Дизайн L-industry 115 делает светильник интересным для установки в торговых центрах, выставочных павильонах, спортивных сооружениях и т.п. По ряду использованных решений L-industry 115 не имеет аналогов."
