,Комментарии к типоразмеру##OTHER##,Световой поток светильника##ELECTRICAL_LUMINOUS_FLUX##LUMENS,Полная установленная мощность##ELECTRICAL_APPARENT_POWER##VOLT_AMPERES,Цветовая температура##COLOR_TEMPERATURE##KELVIN,Кривая сил света##OTHER##,Описание##OTHER##
L-office 55 Standart 5.0K TURBO,Офисные,5644,50,5000,Д,"Светодиодный светильник с повышенным световым потоком L-office 55 Standart предназначен для установки в помещениях с высокими требованиями к освещенности (офисы, кабинеты, образовательные учреждения, помещения торгово-административного назначения и т.п.)."
L-office 55 Premium 4.0K ECO,Офисные,3869,32,4000,Д,"Светодиодный светильник премиум-класса с повышенным световым потоком L-office 55 Premium предназначен для установки в помещениях с высокими требованиями к освещенности (офисы, кабинеты, образовательные учреждения, помещения торгово-административного назначения и т.п.)."
L-office 55 Premium 5.0K ECO,Офисные,3869,32,5000,Д,"Светодиодный светильник премиум-класса с повышенным световым потоком L-office 55 Premium предназначен для установки в помещениях с высокими требованиями к освещенности (офисы, кабинеты, образовательные учреждения, помещения торгово-административного назначения и т.п.)."
L-office 55 Premium 4.0K TURBO,Офисные,5605,50,4000,Д,"Светодиодный светильник премиум-класса с повышенным световым потоком L-office 55 Premium предназначен для установки в помещениях с высокими требованиями к освещенности (офисы, кабинеты, образовательные учреждения, помещения торгово-административного назначения и т.п.)."
L-office 55 Standart 4.0K TURBO,Офисные,5644,50,4000,Д,"Светодиодный светильник с повышенным световым потоком L-office 55 Standart предназначен для установки в помещениях с высокими требованиями к освещенности (офисы, кабинеты, образовательные учреждения, помещения торгово-административного назначения и т.п.)."
L-office 55 Standart 4.0K ECO,Офисные,3347,32,4000,Д,"Светодиодный светильник с повышенным световым потоком L-office 55 Standart предназначен для установки в помещениях с высокими требованиями к освещенности (офисы, кабинеты, образовательные учреждения, помещения торгово-административного назначения и т.п.)."
L-office 55 Premium 5.0K TURBO,Офисные,5605,50,5000,Д,"Светодиодный светильник премиум-класса с повышенным световым потоком L-office 55 Premium предназначен для установки в помещениях с высокими требованиями к освещенности (офисы, кабинеты, образовательные учреждения, помещения торгово-административного назначения и т.п.)."
L-office 55 Standart 5.0K ECO,Офисные,3347,32,5000,Д,"Светодиодный светильник с повышенным световым потоком L-office 55 Standart предназначен для установки в помещениях с высокими требованиями к освещенности (офисы, кабинеты, образовательные учреждения, помещения торгово-административного назначения и т.п.)."
