,Комментарии к типоразмеру##OTHER##,Световой поток светильника##ELECTRICAL_LUMINOUS_FLUX##LUMENS,Полная установленная мощность##ELECTRICAL_APPARENT_POWER##VOLT_AMPERES,Цветовая температура##COLOR_TEMPERATURE##KELVIN,Кривая сил света##OTHER##,Описание##OTHER##
L-lego II 110 banner-90-G30-5.0K,Прожекторы,11724,90,5000,Г30,"Универсальный модульный светильник/прожектор L-lego II 110 banner предназначен для освещения промышленных и складских помещений, выставочных комплексов, автостоянок, подсветки архитектурных фасадов и т.д."
L-lego II 110 banner-90-G60-4.0K,Прожекторы,11702,90,4000,Г60,"Универсальный модульный светильник/прожектор L-lego II 110 banner предназначен для освещения промышленных и складских помещений, выставочных комплексов, автостоянок, подсветки архитектурных фасадов и т.д."
L-lego II 110 banner-90-K15-5.0K,Прожекторы,11754,90,5000,К15,"Универсальный модульный светильник/прожектор L-lego II 110 banner предназначен для освещения промышленных и складских помещений, выставочных комплексов, автостоянок, подсветки архитектурных фасадов и т.д."
L-lego II 110 banner-90-D-5.0K,Прожекторы,11702,90,5000,Д,"Универсальный модульный светильник/прожектор L-lego II 110 banner предназначен для освещения промышленных и складских помещений, выставочных комплексов, автостоянок, подсветки архитектурных фасадов и т.д."
L-lego II 110 banner-90-G30-4.0K,Прожекторы,11724,90,4000,Г30,"Универсальный модульный светильник/прожектор L-lego II 110 banner предназначен для освещения промышленных и складских помещений, выставочных комплексов, автостоянок, подсветки архитектурных фасадов и т.д."
L-lego II 110 banner-90-G60-5.0K,Прожекторы,11702,90,5000,Г60,"Универсальный модульный светильник/прожектор L-lego II 110 banner предназначен для освещения промышленных и складских помещений, выставочных комплексов, автостоянок, подсветки архитектурных фасадов и т.д."
L-lego II 110 banner-90-D-4.0K,Прожекторы,11702,90,4000,Д,"Универсальный модульный светильник/прожектор L-lego II 110 banner предназначен для освещения промышленных и складских помещений, выставочных комплексов, автостоянок, подсветки архитектурных фасадов и т.д."
L-lego II 110 banner-90-K15-4.0K,Прожекторы,11754,90,4000,К15,"Универсальный модульный светильник/прожектор L-lego II 110 banner предназначен для освещения промышленных и складских помещений, выставочных комплексов, автостоянок, подсветки архитектурных фасадов и т.д."
