,Комментарии к типоразмеру##OTHER##,Световой поток светильника##ELECTRICAL_LUMINOUS_FLUX##LUMENS,Полная установленная мощность##ELECTRICAL_APPARENT_POWER##VOLT_AMPERES,Цветовая температура##COLOR_TEMPERATURE##KELVIN,Кривая сил света##OTHER##,Описание##OTHER##
L-banner 600-К8-5.0K,Прожекторы,66816,600,5000,К8,"Светодиодный светильник/прожектор L-banner 600 предназначен для внешней подсветки крупных объектов (стел, монументов, фасадов зданий), а также для наружного освещения территорий с высокими требованиями к освещенности (стадионы, порты, площади и т.п.)."
L-banner 600-Г60-4.0K,Прожекторы,69702,600,4000,Г60,"Светодиодный светильник/прожектор L-banner 600 предназначен для внешней подсветки крупных объектов (стел, монументов, фасадов зданий), а также для наружного освещения территорий с высокими требованиями к освещенности (стадионы, порты, площади и т.п.)."
L-banner 600-К8-4.0K,Прожекторы,66816,600,4000,К8,"Светодиодный светильник/прожектор L-banner 600 предназначен для внешней подсветки крупных объектов (стел, монументов, фасадов зданий), а также для наружного освещения территорий с высокими требованиями к освещенности (стадионы, порты, площади и т.п.)."
L-banner 600-Г30-5.0K,Прожекторы,69130,600,5000,Г30,"Светодиодный светильник/прожектор L-banner 600 предназначен для внешней подсветки крупных объектов (стел, монументов, фасадов зданий), а также для наружного освещения территорий с высокими требованиями к освещенности (стадионы, порты, площади и т.п.)."
L-banner 600-Г60-5.0K,Прожекторы,69702,600,5000,Г60,"Светодиодный светильник/прожектор L-banner 600 предназначен для внешней подсветки крупных объектов (стел, монументов, фасадов зданий), а также для наружного освещения территорий с высокими требованиями к освещенности (стадионы, порты, площади и т.п.)."
L-banner 600-K15-5.0K,Прожекторы,69906,600,5000,К15,"Светодиодный светильник/прожектор L-banner 600 предназначен для внешней подсветки крупных объектов (стел, монументов, фасадов зданий), а также для наружного освещения территорий с высокими требованиями к освещенности (стадионы, порты, площади и т.п.)."
L-banner 600-K15-4.0K,Прожекторы,69906,600,4000,К15,"Светодиодный светильник/прожектор L-banner 600 предназначен для внешней подсветки крупных объектов (стел, монументов, фасадов зданий), а также для наружного освещения территорий с высокими требованиями к освещенности (стадионы, порты, площади и т.п.)."
L-banner 600-Г30-4.0K,Прожекторы,69130,600,4000,Г30,"Светодиодный светильник/прожектор L-banner 600 предназначен для внешней подсветки крупных объектов (стел, монументов, фасадов зданий), а также для наружного освещения территорий с высокими требованиями к освещенности (стадионы, порты, площади и т.п.)."
