,Комментарии к типоразмеру##OTHER##,Световой поток светильника##ELECTRICAL_LUMINOUS_FLUX##LUMENS,Полная установленная мощность##ELECTRICAL_APPARENT_POWER##VOLT_AMPERES,Цветовая температура##COLOR_TEMPERATURE##KELVIN,Кривая сил света##OTHER##,Описание##OTHER##
L-lego II 250-225-Д-5.0K-01,Промышленные,29252,225,5000,Д,"Светодиодный светильник L-lego II 250 предназначен для общего внутреннего освещения производственных помещений, территорий промышленных предприятий, логистических комплексов, спортивных сооружений."
L-lego II 250-225-К15-4.0K-01,Промышленные,29436,225,4000,К15,"Светодиодный светильник L-lego II 250 предназначен для общего внутреннего освещения производственных помещений, территорий промышленных предприятий, логистических комплексов, спортивных сооружений."
L-lego II 250-225-Д-4.0K-01,Промышленные,29252,225,4000,Д,"Светодиодный светильник L-lego II 250 предназначен для общего внутреннего освещения производственных помещений, территорий промышленных предприятий, логистических комплексов, спортивных сооружений."
L-lego II 250-225-Г30-4.0K-01,Промышленные,29358,225,4000,Г30,"Светодиодный светильник L-lego II 250 предназначен для общего внутреннего освещения производственных помещений, территорий промышленных предприятий, логистических комплексов, спортивных сооружений."
L-lego II 250-225-Г60-5.0K-01,Промышленные,29306,225,5000,Г60,"Светодиодный светильник L-lego II 250 предназначен для общего внутреннего освещения производственных помещений, территорий промышленных предприятий, логистических комплексов, спортивных сооружений."
L-lego II 250-225-Г60-4.0K-01,Промышленные,29306,225,4000,Г60,"Светодиодный светильник L-lego II 250 предназначен для общего внутреннего освещения производственных помещений, территорий промышленных предприятий, логистических комплексов, спортивных сооружений."
L-lego II 250-225-К15-5.0K-01,Промышленные,29436,225,5000,К15,"Светодиодный светильник L-lego II 250 предназначен для общего внутреннего освещения производственных помещений, территорий промышленных предприятий, логистических комплексов, спортивных сооружений."
L-lego II 250-225-Г30-5.0K-01,Промышленные,29358,225,5000,Г30,"Светодиодный светильник L-lego II 250 предназначен для общего внутреннего освещения производственных помещений, территорий промышленных предприятий, логистических комплексов, спортивных сооружений."
