,Комментарии к типоразмеру##OTHER##,Световой поток светильника##ELECTRICAL_LUMINOUS_FLUX##LUMENS,Полная установленная мощность##ELECTRICAL_APPARENT_POWER##VOLT_AMPERES,Цветовая температура##COLOR_TEMPERATURE##KELVIN,Кривая сил света##OTHER##,Описание##OTHER##
L-lego II 165 G60 5.0K,Промышленные,17554,135,5000,Г60,"Светодиодный светильник L-lego II 165 предназначен для освещения промышленных объектов, складских и логистических комплексов, спортивных сооружений, выставочных павильонов и т.п."
L-lego II 165 K15 5.0K,Промышленные,17632,135,5000,К15,"Светодиодный светильник L-lego II 165 предназначен для освещения промышленных объектов, складских и логистических комплексов, спортивных сооружений, выставочных павильонов и т.п."
L-lego II 165 D 5.0K,Промышленные,17553,135,5000,Д,"Светодиодный светильник L-lego II 165 предназначен для освещения промышленных объектов, складских и логистических комплексов, спортивных сооружений, выставочных павильонов и т.п."
L-lego II 165 K15 4.0K,Промышленные,17632,135,4000,К15,"Светодиодный светильник L-lego II 165 предназначен для освещения промышленных объектов, складских и логистических комплексов, спортивных сооружений, выставочных павильонов и т.п."
L-lego II 165 G30 4.0K,Промышленные,17585,135,4000,Г30,"Светодиодный светильник L-lego II 165 предназначен для освещения промышленных объектов, складских и логистических комплексов, спортивных сооружений, выставочных павильонов и т.п."
L-lego II 165 G60 4.0K,Промышленные,17554,135,4000,Г60,"Светодиодный светильник L-lego II 165 предназначен для освещения промышленных объектов, складских и логистических комплексов, спортивных сооружений, выставочных павильонов и т.п."
L-lego II 165 G30 5.0K,Промышленные,17585,135,5000,,""
L-lego II 165 D 4.0K,Промышленные,17553,135,4000,Д,"Светодиодный светильник L-lego II 165 предназначен для освещения промышленных объектов, складских и логистических комплексов, спортивных сооружений, выставочных павильонов и т.п."
