,Комментарии к типоразмеру##OTHER##,Световой поток светильника##ELECTRICAL_LUMINOUS_FLUX##LUMENS,Полная установленная мощность##ELECTRICAL_APPARENT_POWER##VOLT_AMPERES,Цветовая температура##COLOR_TEMPERATURE##KELVIN,Кривая сил света##OTHER##,Описание##OTHER##
L-industry 230 4.0К Г30,Промышленные,22520,170,4000,Г30,"Универсальный LED светильник L-industry 230 разработан для общего внутреннего освещения промышленных объектов, складских и логистических помещений. L-industry 230 также является оптимальным вариантом для установки в торговых центрах, выставочных павильонах, спортивных сооружениях и т.п. По ряду использованных решений L-industry 230 не имеет аналогов."
L-industry 230 4.0К Д,Промышленные,22120,170,4000,Д,"Универсальный LED светильник L-industry 230 разработан для общего внутреннего освещения промышленных объектов, складских и логистических помещений. L-industry 230 также является оптимальным вариантом для установки в торговых центрах, выставочных павильонах, спортивных сооружениях и т.п. По ряду использованных решений L-industry 230 не имеет аналогов."
L-industry 230 4.0К К15,Промышленные,22600,170,4000,К15,"Универсальный LED светильник L-industry 230 разработан для общего внутреннего освещения промышленных объектов, складских и логистических помещений. L-industry 230 также является оптимальным вариантом для установки в торговых центрах, выставочных павильонах, спортивных сооружениях и т.п. По ряду использованных решений L-industry 230 не имеет аналогов."
L-industry 230 4.0К Г60,Промышленные,22400,170,4000,Г60,"Универсальный LED светильник L-industry 230 разработан для общего внутреннего освещения промышленных объектов, складских и логистических помещений. L-industry 230 также является оптимальным вариантом для установки в торговых центрах, выставочных павильонах, спортивных сооружениях и т.п. По ряду использованных решений L-industry 230 не имеет аналогов."
L-industry 230 5.0К Г60,Промышленные,22400,170,5000,Г60,"Универсальный LED светильник L-industry 230 разработан для общего внутреннего освещения промышленных объектов, складских и логистических помещений. L-industry 230 также является оптимальным вариантом для установки в торговых центрах, выставочных павильонах, спортивных сооружениях и т.п. По ряду использованных решений L-industry 230 не имеет аналогов."
L-industry 230 5.0К Д,Промышленные,22120,170,5000,Д,"Универсальный LED светильник L-industry 230 разработан для общего внутреннего освещения промышленных объектов, складских и логистических помещений. L-industry 230 также является оптимальным вариантом для установки в торговых центрах, выставочных павильонах, спортивных сооружениях и т.п. По ряду использованных решений L-industry 230 не имеет аналогов."
L-industry 230 5.0К К15,Промышленные,22600,170,5000,К15,"Универсальный LED светильник L-industry 230 разработан для общего внутреннего освещения промышленных объектов, складских и логистических помещений. L-industry 230 также является оптимальным вариантом для установки в торговых центрах, выставочных павильонах, спортивных сооружениях и т.п. По ряду использованных решений L-industry 230 не имеет аналогов."
L-industry 230 5.0К Г30,Промышленные,22520,170,5000,Г30,"Универсальный LED светильник L-industry 230 разработан для общего внутреннего освещения промышленных объектов, складских и логистических помещений. L-industry 230 также является оптимальным вариантом для установки в торговых центрах, выставочных павильонах, спортивных сооружениях и т.п. По ряду использованных решений L-industry 230 не имеет аналогов."
