,Комментарии к типоразмеру##OTHER##,Световой поток светильника##ELECTRICAL_LUMINOUS_FLUX##LUMENS,Полная установленная мощность##ELECTRICAL_APPARENT_POWER##VOLT_AMPERES,Цветовая температура##COLOR_TEMPERATURE##KELVIN,Кривая сил света##OTHER##,Описание##OTHER##
L-lego II 110 K15 4.0K,Промышленные,11754,90,4000,К15,"Светодиодный светильник L-lego II 110 предназначен для общего освещения промышленных объектов, складских и логистических комплексов, спортивных сооружений, выставочных павильонов и т.п."
L-lego II 110 G60 4.0K,Промышленные,11702,90,4000,Г60,"Светодиодный светильник L-lego II 110 предназначен для общего освещения промышленных объектов, складских и логистических комплексов, спортивных сооружений, выставочных павильонов и т.п."
L-lego II 110 D 5.0K,Промышленные,11702,90,5000,Д,"Светодиодный светильник L-lego II 110 предназначен для общего освещения промышленных объектов, складских и логистических комплексов, спортивных сооружений, выставочных павильонов и т.п."
L-lego II 110 G30 4.0K,Промышленные,11724,90,4000,Г30,"Светодиодный светильник L-lego II 110 предназначен для общего освещения промышленных объектов, складских и логистических комплексов, спортивных сооружений, выставочных павильонов и т.п."
L-lego II 110 G60 5.0K,Промышленные,11702,90,5000,Г60,"Светодиодный светильник L-lego II 110 предназначен для общего освещения промышленных объектов, складских и логистических комплексов, спортивных сооружений, выставочных павильонов и т.п."
L-lego II 110 K15 5.0K,Промышленные,11754,90,5000,К15,"Светодиодный светильник L-lego II 110 предназначен для общего освещения промышленных объектов, складских и логистических комплексов, спортивных сооружений, выставочных павильонов и т.п."
L-lego II 110 G30 5.0K,Промышленные,11724,90,5000,Г30,"Светодиодный светильник L-lego II 110 предназначен для общего освещения промышленных объектов, складских и логистических комплексов, спортивных сооружений, выставочных павильонов и т.п."
L-lego II 110 D 4.0K,Промышленные,11702,90,4000,Д,"Светодиодный светильник L-lego II 110 предназначен для общего освещения промышленных объектов, складских и логистических комплексов, спортивных сооружений, выставочных павильонов и т.п."
