,Комментарии к типоразмеру##OTHER##,Световой поток светильника##ELECTRICAL_LUMINOUS_FLUX##LUMENS,Полная установленная мощность##ELECTRICAL_APPARENT_POWER##VOLT_AMPERES,Цветовая температура##COLOR_TEMPERATURE##KELVIN,Кривая сил света##OTHER##,Описание##OTHER##
L-industry 120 Turbine 4.0K Д,Промышленные,13200,100,4000,Д,"Светодиодный светильник нового поколения L-industry 120 Turbine предназначен для освещения промышленных объектов, складов, магазинов, подземных переходов, декоративной подсветки и т.д."
L-industry 120 Turbine 5.0K К15,Промышленные,13249,100,5000,К15,"Светодиодный светильник нового поколения L-industry 120 Turbine предназначен для освещения промышленных объектов, складов, магазинов, подземных переходов, декоративной подсветки и т.д."
L-industry 120 Turbine 5.0K Д,Промышленные,13200,100,5000,Д,"Светодиодный светильник нового поколения L-industry 120 Turbine предназначен для освещения промышленных объектов, складов, магазинов, подземных переходов, декоративной подсветки и т.д."
L-industry 120 Turbine 5.0K Г60,Промышленные,13296,100,5000,Г60,"Светодиодный светильник нового поколения L-industry 120 Turbine предназначен для освещения промышленных объектов, складов, магазинов, подземных переходов, декоративной подсветки и т.д."
L-industry 120 Turbine 4.0K Г60,Промышленные,13296,100,4000,Г60,"Светодиодный светильник нового поколения L-industry 120 Turbine предназначен для освещения промышленных объектов, складов, магазинов, подземных переходов, декоративной подсветки и т.д."
L-industry 120 Turbine 4.0K К15,Промышленные,13249,100,4000,К15,"Светодиодный светильник нового поколения L-industry 120 Turbine предназначен для освещения промышленных объектов, складов, магазинов, подземных переходов, декоративной подсветки и т.д."
L-industry 120 Turbine 5.0K Г30,Промышленные,13320,100,5000,Г30,"Светодиодный светильник нового поколения L-industry 120 Turbine предназначен для освещения промышленных объектов, складов, магазинов, подземных переходов, декоративной подсветки и т.д."
L-industry 120 Turbine 4.0K Г30,Промышленные,13320,100,4000,Д,"Светодиодный светильник нового поколения L-industry 120 Turbine предназначен для освещения промышленных объектов, складов, магазинов, подземных переходов, декоративной подсветки и т.д."
