,Комментарии к типоразмеру##OTHER##,Световой поток светильника##ELECTRICAL_LUMINOUS_FLUX##LUMENS,Полная установленная мощность##ELECTRICAL_APPARENT_POWER##VOLT_AMPERES,Цветовая температура##COLOR_TEMPERATURE##KELVIN,Кривая сил света##OTHER##,Описание##OTHER##
L-lego II 220 banner-178-K15-4.0K,Прожекторы,23288,178,4000,К15,"Универсальный светильник/прожектор L-lego II 220 banner предназначен для внутреннего освещения производственных помещений, архитектурной подсветки зданий, а также наружного освещения территорий с высокими требованиями к освещенности (стадионы, порты, площади)."
L-lego II 220 banner-178-G60-4.0K,Прожекторы,23184,178,4000,Г60,"Универсальный светильник/прожектор L-lego II 220 banner предназначен для внутреннего освещения производственных помещений, архитектурной подсветки зданий, а также наружного освещения территорий с высокими требованиями к освещенности (стадионы, порты, площади)."
L-lego II 220 banner-178-G60-5.0K,Прожекторы,23184,178,5000,Г60,"Универсальный светильник/прожектор L-lego II 220 banner предназначен для внутреннего освещения производственных помещений, архитектурной подсветки зданий, а также наружного освещения территорий с высокими требованиями к освещенности (стадионы, порты, площади)."
L-lego II 220 banner-178-D-5.0K,Прожекторы,23142,178,5000,Д,"Универсальный светильник/прожектор L-lego II 220 banner предназначен для внутреннего освещения производственных помещений, архитектурной подсветки зданий, а также наружного освещения территорий с высокими требованиями к освещенности (стадионы, порты, площади)."
L-lego II 220 banner-178-G30-5.0K,Прожекторы,23226,178,5000,Г30,"Универсальный светильник/прожектор L-lego II 220 banner предназначен для внутреннего освещения производственных помещений, архитектурной подсветки зданий, а также наружного освещения территорий с высокими требованиями к освещенности (стадионы, порты, площади)."
L-lego II 220 banner-178-K15-5.0K,Прожекторы,23288,178,5000,К15,"Универсальный светильник/прожектор L-lego II 220 banner предназначен для внутреннего освещения производственных помещений, архитектурной подсветки зданий, а также наружного освещения территорий с высокими требованиями к освещенности (стадионы, порты, площади)."
L-lego II 220 banner-178-G30-4.0K,Прожекторы,23226,178,4000,Г30,"Универсальный светильник/прожектор L-lego II 220 banner предназначен для внутреннего освещения производственных помещений, архитектурной подсветки зданий, а также наружного освещения территорий с высокими требованиями к освещенности (стадионы, порты, площади)."
L-lego II 220 banner-178-D-4.0K,Прожекторы,23142,178,4000,Д,"Универсальный светильник/прожектор L-lego II 220 banner предназначен для внутреннего освещения производственных помещений, архитектурной подсветки зданий, а также наружного освещения территорий с высокими требованиями к освещенности (стадионы, порты, площади)."
