,Комментарии к типоразмеру##OTHER##,Световой поток светильника##ELECTRICAL_LUMINOUS_FLUX##LUMENS,Полная установленная мощность##ELECTRICAL_APPARENT_POWER##VOLT_AMPERES,Цветовая температура##COLOR_TEMPERATURE##KELVIN,Кривая сил света##OTHER##,Описание##OTHER##
L-lego II 330 G60 5.0K,Промышленные,35107,270,5000,Г60,"Светодиодный светильник L-lego II 330 предназначен для наружного освещения территорий с высокими требованиями к освещенности (стадионы, порты, площади), а также внутреннего освещения помещений с высотой подвеса от 15 м и выше (промышленные объекты, логистические комплексы, спортивные сооружения и т.п.)."
L-lego II 330 D 5.0K,Промышленные,35110,270,5000,Д,"Светодиодный светильник L-lego II 330 предназначен для наружного освещения территорий с высокими требованиями к освещенности (стадионы, порты, площади), а также внутреннего освещения помещений с высотой подвеса от 15 м и выше (промышленные объекты, логистические комплексы, спортивные сооружения и т.п.)."
L-lego II 330 K15 5.0K,Промышленные,35263,270,5000,К15,"Светодиодный светильник L-lego II 330 предназначен для наружного освещения территорий с высокими требованиями к освещенности (стадионы, порты, площади), а также внутреннего освещения помещений с высотой подвеса от 15 м и выше (промышленные объекты, логистические комплексы, спортивные сооружения и т.п.)."
L-lego II 330 D 4.0K,Промышленные,35110,270,4000,Д,"Светодиодный светильник L-lego II 330 предназначен для наружного освещения территорий с высокими требованиями к освещенности (стадионы, порты, площади), а также внутреннего освещения помещений с высотой подвеса от 15 м и выше (промышленные объекты, логистические комплексы, спортивные сооружения и т.п.)."
L-lego II 330 G30 5.0K,Промышленные,35171,270,5000,Г30,"Светодиодный светильник L-lego II 330 предназначен для наружного освещения территорий с высокими требованиями к освещенности (стадионы, порты, площади), а также внутреннего освещения помещений с высотой подвеса от 15 м и выше (промышленные объекты, логистические комплексы, спортивные сооружения и т.п.)."
L-lego II 330 G30 4.0K,Промышленные,35171,270,4000,Г30,"Светодиодный светильник L-lego II 330 предназначен для наружного освещения территорий с высокими требованиями к освещенности (стадионы, порты, площади), а также внутреннего освещения помещений с высотой подвеса от 15 м и выше (промышленные объекты, логистические комплексы, спортивные сооружения и т.п.)."
L-lego II 330 G60 4.0K,Промышленные,35107,270,4000,Г60,"Светодиодный светильник L-lego II 330 предназначен для наружного освещения территорий с высокими требованиями к освещенности (стадионы, порты, площади), а также внутреннего освещения помещений с высотой подвеса от 15 м и выше (промышленные объекты, логистические комплексы, спортивные сооружения и т.п.)."
L-lego II 330 K15 4.0K,Промышленные,35263,270,4000,К15,"Светодиодный светильник L-lego II 330 предназначен для наружного освещения территорий с высокими требованиями к освещенности (стадионы, порты, площади), а также внутреннего освещения помещений с высотой подвеса от 15 м и выше (промышленные объекты, логистические комплексы, спортивные сооружения и т.п.)."
