,Комментарии к типоразмеру##OTHER##,Световой поток светильника##ELECTRICAL_LUMINOUS_FLUX##LUMENS,Полная установленная мощность##ELECTRICAL_APPARENT_POWER##VOLT_AMPERES,Цветовая температура##COLOR_TEMPERATURE##KELVIN,Кривая сил света##OTHER##,Описание##OTHER##
L-street 60 Turbine 4.0K Ш8,Уличные,6425,48,4000,Ш8,"Светодиодный светильник L-street 60 Turbine предназначен для освещения автомобильных дорог, территорий предприятий, городских улиц и парков."
L-street 60 Turbine 4.0K Д,Уличные,6400,48,4000,Д,"Светодиодный светильник L-street 60 Turbine предназначен для освещения автомобильных дорог, территорий предприятий, городских улиц и парков."
L-street 60 Turbine 5.0K Ш3,Уличные,6322,48,5000,Ш3,"Светодиодный светильник L-street 60 Turbine предназначен для освещения автомобильных дорог, территорий предприятий, городских улиц и парков."
L-street 60 Turbine 5.0K Д,Уличные,6400,48,5000,Д,"Светодиодный светильник L-street 60 Turbine предназначен для освещения автомобильных дорог, территорий предприятий, городских улиц и парков."
L-street 60 Turbine 4.0K Ш9,Уличные,6250,48,4000,Ш9,"Светодиодный светильник L-street 60 Turbine предназначен для освещения автомобильных дорог, территорий предприятий, городских улиц и парков."
L-street 60 Turbine 5.0K Ш8,Уличные,6425,48,5000,Ш8,"Светодиодный светильник L-street 60 Turbine предназначен для освещения автомобильных дорог, территорий предприятий, городских улиц и парков."
L-street 60 Turbine 5.0K Ш9,Уличные,6250,48,5000,Ш9,"Светодиодный светильник L-street 60 Turbine предназначен для освещения автомобильных дорог, территорий предприятий, городских улиц и парков."
L-street 60 Turbine 4.0K Ш3,Уличные,6322,48,4000,Ш3,"Светодиодный светильник L-street 60 Turbine предназначен для освещения автомобильных дорог, территорий предприятий, городских улиц и парков."
